Block Name,p,Points_0,Points_1,Points_2,U_0,U_1,U_2
internalMesh,0.0820931,0,0,-0.11285,0,0,0.00677399
internalMesh,0.0821159,0.0012,-4.17106e-20,-0.11285,0,0,0.00677399
internalMesh,0.0821736,0.0024,-8.34212e-20,-0.11285,0,0,0.00677399
internalMesh,0.0822732,0.0036,-1.25132e-19,-0.11285,0,0,0.00677399
internalMesh,0.0824628,0.0048,-1.66842e-19,-0.11285,0,0,0.00677399
internalMesh,0.0825877,0.006,0,-0.11285,0,0,0.003387
internalMesh,0.0821159,0.00114127,0.00037082,-0.11285,0,0,0.00677399
internalMesh,0.0821736,0.00228254,0.000741641,-0.11285,0,0,0.00677399
internalMesh,0.0822732,0.0034238,0.00111246,-0.11285,0,0,0.00677399
internalMesh,0.0824628,0.00456507,0.00148328,-0.11285,0,0,0.00677399
internalMesh,0.0825877,0.00570634,0.0018541,-0.11285,0,0,0.003387
internalMesh,0.0821159,0.00097082,0.000705342,-0.11285,0,0,0.00677399
internalMesh,0.0821736,0.00194164,0.00141068,-0.11285,0,0,0.00677399
internalMesh,0.0822732,0.00291246,0.00211603,-0.11285,0,0,0.00677399
internalMesh,0.0824628,0.00388328,0.00282137,-0.11285,0,0,0.00677399
internalMesh,0.0825877,0.0048541,0.00352671,-0.11285,0,0,0.003387
internalMesh,0.0821159,0.000705342,0.00097082,-0.11285,0,0,0.00677399
internalMesh,0.0821736,0.00141068,0.00194164,-0.11285,0,0,0.00677399
internalMesh,0.0822732,0.00211603,0.00291246,-0.11285,0,0,0.00677399
internalMesh,0.0824628,0.00282137,0.00388328,-0.11285,0,0,0.00677399
internalMesh,0.0825877,0.00352671,0.0048541,-0.11285,0,0,0.003387
internalMesh,0.0821159,0.00037082,0.00114127,-0.11285,0,0,0.00677399
internalMesh,0.0821736,0.000741641,0.00228254,-0.11285,0,0,0.00677399
internalMesh,0.0822732,0.00111246,0.0034238,-0.11285,0,0,0.00677399
internalMesh,0.0824628,0.00148328,0.00456507,-0.11285,0,0,0.00677399
internalMesh,0.0825877,0.0018541,0.00570634,-0.11285,0,0,0.003387
internalMesh,0.0821159,0,0.0012,-0.11285,0,0,0.00677399
internalMesh,0.0821736,0,0.0024,-0.11285,0,0,0.00677399
internalMesh,0.0822732,0,0.0036,-0.11285,0,0,0.00677399
internalMesh,0.0824628,0,0.0048,-0.11285,0,0,0.00677399
internalMesh,0.0825877,0,0.006,-0.11285,0,0,0.003387
internalMesh,0.0820955,0,0,-0.11185,0,0,0.00739915
internalMesh,0.0821164,0.0012,-4.17106e-20,-0.11185,-0.000555695,0,0.00742427
internalMesh,0.082167,0.0024,-8.34212e-20,-0.11185,-0.00100491,0,0.00745184
internalMesh,0.0822467,0.0036,-1.25132e-19,-0.11185,-0.00136069,0,0.00730929
internalMesh,0.0823808,0.0048,-1.66842e-19,-0.11185,-0.0011953,0,0.00631508
internalMesh,0.0824649,0.006,-2.08553e-19,-0.11185,0,0,0
internalMesh,0.0821164,0.00114127,0.00037082,-0.11185,-0.000528497,-0.000171719,0.00742427
internalMesh,0.082167,0.00228254,0.000741641,-0.11185,-0.000955723,-0.000310533,0.00745184
internalMesh,0.0822467,0.0034238,0.00111246,-0.11185,-0.0012941,-0.000420477,0.00730929
internalMesh,0.0823808,0.00456507,0.00148328,-0.11185,-0.0011368,-0.000369368,0.00631508
internalMesh,0.0824649,0.00570634,0.0018541,-0.11185,0,0,0
internalMesh,0.0821164,0.00097082,0.000705342,-0.11185,-0.000449566,-0.000326629,0.00742427
internalMesh,0.082167,0.00194164,0.00141068,-0.11185,-0.000812986,-0.000590669,0.00745184
internalMesh,0.0822467,0.00291246,0.00211603,-0.11185,-0.00110082,-0.000799796,0.00730929
internalMesh,0.0823808,0.00388328,0.00282137,-0.11185,-0.000967019,-0.000702581,0.00631508
internalMesh,0.0824649,0.0048541,0.00352671,-0.11185,0,0,0
internalMesh,0.0821164,0.000705342,0.00097082,-0.11185,-0.000326629,-0.000449566,0.00742427
internalMesh,0.082167,0.00141068,0.00194164,-0.11185,-0.000590669,-0.000812986,0.00745184
internalMesh,0.0822467,0.00211603,0.00291246,-0.11185,-0.000799796,-0.00110082,0.00730929
internalMesh,0.0823808,0.00282137,0.00388328,-0.11185,-0.000702581,-0.000967019,0.00631508
internalMesh,0.0824649,0.00352671,0.0048541,-0.11185,0,0,0
internalMesh,0.0821164,0.00037082,0.00114127,-0.11185,-0.000171719,-0.000528497,0.00742427
internalMesh,0.082167,0.000741641,0.00228254,-0.11185,-0.000310533,-0.000955723,0.00745184
internalMesh,0.0822467,0.00111246,0.0034238,-0.11185,-0.000420477,-0.0012941,0.00730929
internalMesh,0.0823808,0.00148328,0.00456507,-0.11185,-0.000369368,-0.0011368,0.00631508
internalMesh,0.0824649,0.0018541,0.00570634,-0.11185,0,0,0
internalMesh,0.0821164,0,0.0012,-0.11185,0,-0.000555695,0.00742427
internalMesh,0.082167,0,0.0024,-0.11185,0,-0.00100491,0.00745184
internalMesh,0.0822467,0,0.0036,-0.11185,0,-0.00136069,0.00730929
internalMesh,0.0823808,0,0.0048,-0.11185,0,-0.0011953,0.00631508
internalMesh,0.0824649,0,0.006,-0.11185,0,0,0
internalMesh,0.0820885,0,0,-0.11085,0,0,0.00847047
internalMesh,0.0821056,0.0012,-4.17106e-20,-0.11085,-0.000677829,0,0.00845059
internalMesh,0.0821413,0.0024,-8.34212e-20,-0.11085,-0.00113536,0,0.00830159
internalMesh,0.0821852,0.0036,-1.25132e-19,-0.11085,-0.00134892,0,0.00777357
internalMesh,0.0822412,0.0048,-1.66842e-19,-0.11085,-0.00102941,0,0.00611089
internalMesh,0.0822719,0.006,-2.08553e-19,-0.11085,0,0,0
internalMesh,0.0821056,0.00114127,0.00037082,-0.11085,-0.000644653,-0.00020946,0.00845059
internalMesh,0.0821413,0.00228254,0.000741641,-0.11085,-0.00107979,-0.000350844,0.00830159
internalMesh,0.0821852,0.0034238,0.00111246,-0.11085,-0.0012829,-0.000416838,0.00777357
internalMesh,0.0822412,0.00456507,0.00148328,-0.11085,-0.000979022,-0.000318103,0.00611089
internalMesh,0.0822719,0.00570634,0.0018541,-0.11085,0,0,0
internalMesh,0.0821056,0.00097082,0.000705342,-0.11085,-0.000548374,-0.000398417,0.00845059
internalMesh,0.0821413,0.00194164,0.00141068,-0.11085,-0.000918522,-0.000667345,0.00830159
internalMesh,0.0821852,0.00291246,0.00211603,-0.11085,-0.0010913,-0.000792875,0.00777357
internalMesh,0.0822412,0.00388328,0.00282137,-0.11085,-0.000832806,-0.000605069,0.00611089
internalMesh,0.0822719,0.0048541,0.00352671,-0.11085,0,0,0
internalMesh,0.0821056,0.000705342,0.00097082,-0.11085,-0.000398417,-0.000548374,0.00845059
internalMesh,0.0821413,0.00141068,0.00194164,-0.11085,-0.000667345,-0.000918522,0.00830159
internalMesh,0.0821852,0.00211603,0.00291246,-0.11085,-0.000792875,-0.0010913,0.00777357
internalMesh,0.0822412,0.00282137,0.00388328,-0.11085,-0.000605069,-0.000832806,0.00611089
