Point ID,p,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude
0,0.00302015,0,0,-0.001,0.001,-5.02238e-05,-0.000107379,0.207401,0.207401
1,0.00367089,0.0004,-1.27222e-20,-0.001,0.00107703,-0.00112482,-2.52041e-05,0.211166,0.211168
2,0.00315548,0.0008,-2.54443e-20,-0.001,0.00128062,-0.000906475,-2.37451e-05,0.191342,0.191344
3,0.00266431,0.0012,-3.81665e-20,-0.001,0.00156205,0.000211044,1.2815e-07,0.151122,0.151122
4,0.00217721,0.0016,-5.08886e-20,-0.001,0.0018868,0.00010162,-2.49897e-05,0.0847463,0.0847463
5,0.00177861,0.002,0,-0.001,0.00223607,-0.000313067,-2.47195e-05,0.021738,0.0217403
6,0.00362858,0.000380423,0.000123607,-0.001,0.00107703,-0.00110937,-0.000400563,0.211883,0.211887
7,0.00307682,0.000760845,0.000247214,-0.001,0.00128063,-0.000787663,-0.000243372,0.191633,0.191635
8,0.00275515,0.00114127,0.00037082,-0.001,0.00156205,0.00023731,8.13676e-05,0.151075,0.151075
9,0.00281179,0.00152169,0.000494427,-0.001,0.0018868,-0.000212267,-8.29333e-05,0.0903492,0.0903495
10,0.00285553,0.00190211,0.000618034,-0.001,0.00223607,-0.000608483,-0.000214605,0.0272287,0.0272364
11,0.00370311,0.000323607,0.000235114,-0.001,0.00107703,-0.000825994,-0.000696105,0.212709,0.212711
12,0.0030369,0.000647214,0.000470228,-0.001,0.00128063,-0.000305773,-0.00016249,0.190992,0.190993
13,0.00267987,0.000970821,0.000705343,-0.001,0.00156205,0.000388132,0.00031396,0.149114,0.149114
14,0.00282636,0.00129443,0.000940457,-0.001,0.0018868,-0.000224601,-0.000164252,0.0895859,0.0895864
15,0.00289858,0.00161803,0.00117557,-0.001,0.00223607,-0.000536577,-0.00038012,0.0271914,0.0271994
16,0.00374119,0.000235114,0.000323607,-0.001,0.00107703,-0.000699498,-0.000822641,0.212708,0.212711
17,0.00307032,0.000470228,0.000647214,-0.001,0.00128063,-0.00016243,-0.00030571,0.190991,0.190991
18,0.00275315,0.000705343,0.000970821,-0.001,0.00156205,0.00031399,0.000388218,0.149112,0.149113
19,0.00294231,0.000940457,0.00129443,-0.001,0.0018868,-0.000164268,-0.000224622,0.0895853,0.0895857
20,0.00304194,0.00117557,0.00161803,-0.001,0.00223607,-0.000380131,-0.000536593,0.027191,0.0271989
21,0.0037111,0.000123607,0.000380423,-0.001,0.00107703,-0.000402299,-0.00110768,0.211883,0.211886
22,0.00313265,0.000247214,0.000760845,-0.001,0.00128063,-0.000243325,-0.000787575,0.191632,0.191634
23,0.00286844,0.00037082,0.00114127,-0.001,0.00156205,8.13952e-05,0.000237381,0.151073,0.151073
24,0.00292645,0.000494427,0.00152169,-0.001,0.0018868,-8.29568e-05,-0.000212315,0.0903476,0.0903479
25,0.0029784,0.000618034,0.00190211,-0.001,0.00223607,-0.000214617,-0.000608498,0.0272284,0.027236
26,0.00367238,0,0.0004,-0.001,0.00107703,9.09495e-10,-0.0013088,0.211237,0.211241
27,0.00314092,0,0.0008,-0.001,0.00128062,-4.47653e-09,-0.000984729,0.191303,0.191305
28,0.00294915,0,0.0012,-0.001,0.00156205,-1.1225e-08,0.000211127,0.151119,0.151119
29,0.00332252,0,0.0016,-0.001,0.0018868,-6.74845e-09,-0.000136174,0.0933743,0.0933743
30,0.00369709,0,0.002,-0.001,0.00223607,-7.49424e-10,-0.000551168,0.0303647,0.0303698
31,0.00280669,0,0,-0.0008,0.0008,3.90234e-05,-0.00139662,0.208406,0.20841
32,0.00317275,0.0004,-1.27222e-20,-0.0008,0.000894427,-0.000839749,-0.00140156,0.209425,0.209431
33,0.00280533,0.0008,-2.54443e-20,-0.0008,0.00113137,0.000146597,-0.000788678,0.189941,0.189943
34,0.0023884,0.0012,-3.81665e-20,-0.0008,0.00144222,0.0013803,-0.000739303,0.150097,0.150105
35,0.0019813,0.0016,-5.08886e-20,-0.0008,0.00178885,0.00167776,-0.00182514,0.0847529,0.0847891
36,0.00165809,0.002,-6.36108e-20,-0.0008,0.00215407,0,0,0,0
37,0.00317854,0.000380423,0.000123607,-0.0008,0.000894427,-0.000366974,-0.000779264,0.211113,0.211115
38,0.0027665,0.000760845,0.000247214,-0.0008,0.00113137,0.000174274,-3.84816e-05,0.190902,0.190902
39,0.00247758,0.00114127,0.00037082,-0.0008,0.00144222,0.000481868,4.74897e-05,0.150499,0.150499
40,0.00248472,0.00152169,0.000494427,-0.0008,0.00178885,8.42259e-06,-0.000743016,0.0894435,0.0894465
41,0.0024991,0.00190211,0.000618034,-0.0008,0.00215407,0,0,0,0
